,mention_id,unique_id,uuid,patent_id,inventor_id,rawlocation_id,name_first,name_last,sequence,rule_47,deceased,id,location_id,city,state,country,latlong
111,US3912893-0,16512,,,,,,,,,,,,,,,
112,US3913582-0,15412,,,,,,,,,,,,,,,
113,US3914205-0,6757,,,,,,,,,,,,,,,
114,US3914548-0,1268,,,,,,,,,,,,,,,
115,US3916805-0,8733,,,,,,,,,,,,,,,
116,US3917527-0,15289,,,,,,,,,,,,,,,
117,US3918803-0,5575,,,,,,,,,,,,,,,
118,US3919206-1,7931,,,,,,,,,,,,,,,
119,US3919208-1,7931,,,,,,,,,,,,,,,
120,US3919292-1,802,,,,,,,,,,,,,,,
121,US3920531-0,11455,,,,,,,,,,,,,,,
122,US3920582-0,13953,,,,,,,,,,,,,,,
123,US3920643-1,16027,,,,,,,,,,,,,,,
124,US3921136-0,1100,,,,,,,,,,,,,,,
125,US3921283-0,15385,,,,,,,,,,,,,,,
126,US3922877-0,12605,,,,,,,,,,,,,,,
127,US3923990-1,11061,,,,,,,,,,,,,,,
128,US3924227-0,16530,,,,,,,,,,,,,,,
129,US3924677-1,1395,,,,,,,,,,,,,,,
130,US3924689-0,11161,,,,,,,,,,,,,,,
131,US3924842-1,16616,,,,,,,,,,,,,,,
132,US3925925-0,9865,,,,,,,,,,,,,,,
133,US3926051-0,9087,,,,,,,,,,,,,,,
134,US3926182-0,16400,,,,,,,,,,,,,,,
135,US3926295-0,54,,,,,,,,,,,,,,,
136,US3926524-0,11257,,,,,,,,,,,,,,,
137,US3926974-0,12533,,,,,,,,,,,,,,,
138,US3927206-0,2114,,,,,,,,,,,,,,,
139,US3929256-0,16276,,,,,,,,,,,,,,,
140,US3931573-0,8278,02fio6jqnmsyxx00m0mn6bs47,3931573,fl:sa_ln:hopfer-1,k23w8i3v1t6oawqt601kpizng,Samuel,Hopfer,0,FALSE,FALSE,k23w8i3v1t6oawqt601kpizng,ce26b7a0-cb90-11eb-9615-121df0c29c1e,Brooklyn,NY,US,42.4331|-78.7484
141,US3932306-0,13953,fdgssyslc9c050y3iwxlys7nb,3932306,fl:pe_ln:rona-2,38bciv4bi8yup2pl2ney0hn4j,Peter,Rona,0,FALSE,FALSE,38bciv4bi8yup2pl2ney0hn4j,fb7d135a-cb8f-11eb-9615-121df0c29c1e,Haifa,,IL,32.8003|35.0085
142,US3932398-0,12533,wc2vgnmtlorur57q6cuilxpg2,3932398,fl:ab_ln:nudelman-1,o0qpy4hpnehw9dd96t4re437n,Abraham,Nudelman,0,FALSE,FALSE,o0qpy4hpnehw9dd96t4re437n,60c523e0-cb8f-11eb-9615-121df0c29c1e,Bala Cynwyd,PA,US,40.0076|-75.2341
143,US3932718-0,13266,hmm9qzkjqdbsz0zqbmsqdo741,3932718,fl:ch_ln:porat-1,gkzui2d8aygpztn3u25gs6jzi,Chaim,Porat,0,FALSE,FALSE,gkzui2d8aygpztn3u25gs6jzi,3f65f857-cb8e-11eb-9615-121df0c29c1e,Beersheba,,IL,
144,US3934927-0,18742,p0zn896j7czt7h6513ltj4xzl,3934927,fl:he_ln:zur-1,fk0nne19bcp6uak0aohguqq2c,Henry Chanoch,Zur,0,FALSE,FALSE,fk0nne19bcp6uak0aohguqq2c,e67cdd38-cb8e-11eb-9615-121df0c29c1e,Tel Aviv,,IL,32.0887|34.7831
145,US3936501-1,3379,02ejmjlxz7uj9og552cn0r14n,3936501,02ejmjlxz7uj9og552cn0r14n,phya9wijob1ngs9uz8ap29om5,Benedict,Cytter,1,FALSE,FALSE,phya9wijob1ngs9uz8ap29om5,fb7d135a-cb8f-11eb-9615-121df0c29c1e,Haifa,,IL,32.8003|35.0085
146,US3938197-0,11797,ygixz5vaxinpwssrtryoy1v4l,3938197,fl:si_ln:milo-1,3nvrmojqh5d894hfejwgglooe,Simcha,Milo,0,FALSE,FALSE,3nvrmojqh5d894hfejwgglooe,fb7d135a-cb8f-11eb-9615-121df0c29c1e,Haifa,,IL,32.8003|35.0085
147,US3938296-0,17545,hgzmr3bdefdwrthc3dcav12te,3938296,fl:gi_ln:weiss-3,5umyhwdtni0ztotug6rphyg5c,Gil,Weiss,0,FALSE,FALSE,5umyhwdtni0ztotug6rphyg5c,6f84fed0-cb8e-11eb-9615-121df0c29c1e,Ramle,,IL,
148,US3938552-0,14083,8nl1qw03j5dqspfibq13oiimi,3938552,fl:pe_ln:rosenberg-1,3qftzdky0c6bf4nfzntjj1zeh,Peretz,Rosenberg,0,FALSE,FALSE,3qftzdky0c6bf4nfzntjj1zeh,ecbb0d3e-cb90-11eb-9615-121df0c29c1e,Moshav Beit Shearim,,IL,31.7866|35.2208
149,US3939152-1,6656,dgj8sha9zcazvptt09ey66yl1,3939152,dgj8sha9zcazvptt09ey66yl1,wiva87fohr4jile5gts2h9vjp,Uri,Golik,1,FALSE,FALSE,wiva87fohr4jile5gts2h9vjp,41671603-cb8e-11eb-9615-121df0c29c1e,Givataym,,IL,
150,US3939359-0,12195,1dy0ujrksxxirciapwsz9u6tg,3939359,1dy0ujrksxxirciapwsz9u6tg,slh1zp1enkxnx95izas00s3d0,Jacob,Nehushtan,0,FALSE,FALSE,slh1zp1enkxnx95izas00s3d0,ec64093c-09bd-11ec-893a-12de62d610b1,Rishon-le-Zion,,IL,31.9752|34.7809
151,US3939528-0,12002,apt7qttwv9bnz7ao3reh667ug,3939528,apt7qttwv9bnz7ao3reh667ug,p4twvju1wndrxrvaikwtkoc5o,Igal,Mossinsohn,0,FALSE,FALSE,p4twvju1wndrxrvaikwtkoc5o,e67cdd38-cb8e-11eb-9615-121df0c29c1e,Tel-Aviv,,IL,32.0887|34.7831
152,US3939755-0,16601,5j9eqbcwrpa7squccw07b14ne,3939755,fl:ha_ln:tabor-3,jlxxr22l47jdyqjy30ti2xiiz,Hanani,Tabor,0,FALSE,FALSE,jlxxr22l47jdyqjy30ti2xiiz,99f8d957-cbae-11eb-9615-121df0c29c1e,Carmiel,,IL,32.9127|35.3005
153,US3940564-0,12637,yij35jtfrl3azyrrkyfnoqpmj,3940564,fl:sh_ln:orbach-1,pg1bqdm77trhuhl083unhotpx,Shelomo,Orbach,0,FALSE,FALSE,pg1bqdm77trhuhl083unhotpx,fb7d135a-cb8f-11eb-9615-121df0c29c1e,Haifa,,IL,32.8003|35.0085
154,US3941677-0,2287,0hnvo8c4nqycgqetpao7cd9d1,3941677,fl:jo_ln:bourne-6,iu68h4ztyafedu7jzwkerff3j,Joseph R.,Bourne,0,FALSE,FALSE,iu68h4ztyafedu7jzwkerff3j,3cb7ac85-cb8e-11eb-9615-121df0c29c1e,Dewitt,NY,US,43.0387|-76.073
155,US3941692-0,7607,ffjf891dni5jstxmyla2m9dkg,3941692,fl:da_ln:gutnick-1,9haxfaecvqhjdd2vlymt8epny,David,Gutnick,0,FALSE,FALSE,9haxfaecvqhjdd2vlymt8epny,e67cdd38-cb8e-11eb-9615-121df0c29c1e,Tel Aviv,,IL,32.0887|34.7831
156,US3942875-0,1968,4elrlcu4wtut0ehwrcaj3z4hy,3942875,fl:el_ln:betensky-1,endn2nv9nljttdri7p0csew1n,Ellis I.,Betensky,0,FALSE,FALSE,endn2nv9nljttdri7p0csew1n,fe96bb54-cb90-11eb-9615-121df0c29c1e,Toronto,,CA,43.717|-79.4198
157,US3942876-0,1968,6rtclqoznx80ex371yqkohqlv,3942876,fl:el_ln:betensky-1,10ttaty23d70vy1xvgex86ji2,Ellis I.,Betensky,0,FALSE,FALSE,10ttaty23d70vy1xvgex86ji2,fe96bb54-cb90-11eb-9615-121df0c29c1e,Toronto,,CA,43.717|-79.4198
158,US3944437-0,823,dthkoe3qpp71qjthpfeamdap7,3944437,fl:jo_ln:auerbach-2,g8mo8166cqy2w4ob4mp28rxzr,Joab,Auerbach,0,FALSE,FALSE,g8mo8166cqy2w4ob4mp28rxzr,fe9ae00e-09bd-11ec-893a-12de62d610b1,Ramat Gan,,IL,32.071|34.827
159,US3944676-1,3641,evgsvgg3ko8dai9c2jw7ivg9j,3944676,fl:am_ln:dolev-3,upej2kidp4q9433i6a4q01c27,Amior,Dolev,1,FALSE,FALSE,upej2kidp4q9433i6a4q01c27,fb7d135a-cb8f-11eb-9615-121df0c29c1e,Haifa,,IL,32.8003|35.0085
160,US3944832-0,8744,7k01utv5zuu5hun4xab8kl0u5,3944832,fl:ye_ln:kalish-1,ku96hog9zvymmu5vr2kjlt4oj,Yehoshua,Kalish,0,FALSE,FALSE,ku96hog9zvymmu5vr2kjlt4oj,519e62f8-cb8e-11eb-9615-121df0c29c1e,Kiron,,IL,
161,US3945324-1,10979,zx8iuga4ozdpjp7xda1la79qt,3945324,zx8iuga4ozdpjp7xda1la79qt,cb8og9or86fqvugviabl90x06,Avigdor,Lowy,1,FALSE,FALSE,cb8og9or86fqvugviabl90x06,fb7d135a-cb8f-11eb-9615-121df0c29c1e,Haifa,,IL,32.8003|35.0085
162,US3945330-1,402,ersicvmgh4vo6our80sdhbvph,3945330,fl:ye_ln:alper-2,o2bk3ir435rdg1yo2tthckpuq,Yekutiel,Alper,1,FALSE,FALSE,o2bk3ir435rdg1yo2tthckpuq,ec64093c-09bd-11ec-893a-12de62d610b1,Rishon Le Zion,,IL,31.9752|34.7809
163,US3945849-0,8232,c96heglye00tnzbs2zdgqlrqd,3945849,fl:ar_ln:hoffman-9,9wzdfifcdn6y12boam0j70mmp,Arnold,Hoffman,0,FALSE,FALSE,9wzdfifcdn6y12boam0j70mmp,db8aa9ae-cb8e-11eb-9615-121df0c29c1e,Brookline,MA,US,42.3318|-71.1212
164,US3946495-0,12721,rt9p6parzdzs85byasb6swww3,3946495,fl:as_ln:osdor-1,8s3o8b1xx6gusr01pm56lqe8k,Asriel,Osdor,0,FALSE,FALSE,8s3o8b1xx6gusr01pm56lqe8k,e67cdd38-cb8e-11eb-9615-121df0c29c1e,Tel Aviv,,IL,32.0887|34.7831
165,US3946601-0,18231,sejur58kuy6w8101iqmq803kg,3946601,sejur58kuy6w8101iqmq803kg,rn66ji52y79mofskyhyn9qn8l,David,Yizhaki,0,FALSE,FALSE,rn66ji52y79mofskyhyn9qn8l,fb7d135a-cb8f-11eb-9615-121df0c29c1e,Haifa,,IL,32.8003|35.0085
166,US3947120-0,1128,utfwtvyc8y0kwb0mmp0n0vxi2,3947120,utfwtvyc8y0kwb0mmp0n0vxi2,beof0qme4jx4fmo42bbcdnn4a,Charles,Bar-Issac,0,FALSE,FALSE,beof0qme4jx4fmo42bbcdnn4a,fe9ae00e-09bd-11ec-893a-12de62d610b1,Ramat Gan,,IL,32.071|34.827
167,US3947128-1,8746,2zchoxl8j3rmo9n9sfrg1uf28,3947128,2zchoxl8j3rmo9n9sfrg1uf28,4tfdphfz4bygh12ubyfps5ev7,Avram,Kalisky,1,FALSE,FALSE,4tfdphfz4bygh12ubyfps5ev7,e7275ca8-cb8f-11eb-9615-121df0c29c1e,Jerusalem,,IL,31.7959|35.212
168,US3947968-0,14168,k73i359mykw0m29ni9me4ujcj,3947968,k73i359mykw0m29ni9me4ujcj,vm5gfphl7ok2m22jkfu7pj9uy,Danny,Rosenheck,0,FALSE,FALSE,vm5gfphl7ok2m22jkfu7pj9uy,e67cdd38-cb8e-11eb-9615-121df0c29c1e,Tel Aviv,,IL,32.0887|34.7831
169,US3948833-0,8657,yjwbdj6u6mvc49s9cy0g7fgqc,3948833,fl:li_ln:kacir-1,ta3aegdcll6xkkw7aqutdwj7t,Lior,Kacir,0,FALSE,FALSE,ta3aegdcll6xkkw7aqutdwj7t,fb7d135a-cb8f-11eb-9615-121df0c29c1e,Haifa,,IL,32.8003|35.0085
170,US3948904-1,7931,5huvqlgh3kqnnth2u1qplbf8h,3948904,fl:fo_ln:haviv-1,jkw7vkbm992lh99nu6gp4igg4,Fortuna,Haviv,1,FALSE,FALSE,jkw7vkbm992lh99nu6gp4igg4,e5e5aff8-09bd-11ec-893a-12de62d610b1,Rehovot,,IL,31.8947|34.8044
171,US3950544-0,5468,oi7amj66hbkzi7awscliiz76p,3950544,fl:el_ln:fridman-2,ix9mms7xm4iax59o97fhdxnve,Eliahu,Fridman,0,FALSE,FALSE,ix9mms7xm4iax59o97fhdxnve,fb7d135a-cb8f-11eb-9615-121df0c29c1e,Haifa,,IL,32.8003|35.0085
172,US3950757-0,2134,lxcpi177fn6qu1wuu337vnf1z,3950757,fl:ju_ln:blass-1,fujhnfiw2fdgd0oc69v2r09q5,Judd,Blass,0,FALSE,FALSE,fujhnfiw2fdgd0oc69v2r09q5,553f325c-cb8f-11eb-9615-121df0c29c1e,Herzliah Petuach,,IL,
173,US3950957-0,18399,tb9dfl6xonsub89wfk3qbkywt,3950957,tb9dfl6xonsub89wfk3qbkywt,w5gcwe8q88bhgfrfc72ckunyp,Tsadok,Zakon,0,FALSE,FALSE,w5gcwe8q88bhgfrfc72ckunyp,fb7d135a-cb8f-11eb-9615-121df0c29c1e,Haifa,,IL,32.8003|35.0085
174,US3951345-0,11494,le99tfk496h63ybnpwdi3ay2e,3951345,fl:ra_ln:mehoudar-1,bohitgiuevl9umk6vmemgwiix,Raphael,Mehoudar,0,FALSE,FALSE,bohitgiuevl9umk6vmemgwiix,e67cdd38-cb8e-11eb-9615-121df0c29c1e,Tel-Aviv,,IL,32.0887|34.7831
175,US3951378-0,11157,hxm57r32dyck7ka22s21ff7nt,3951378,hxm57r32dyck7ka22s21ff7nt,xw83nbau43au65myz8n0evbsj,Aharon,Manor,0,FALSE,FALSE,xw83nbau43au65myz8n0evbsj,4e539efd-cb8e-11eb-9615-121df0c29c1e,Rehovoth,,IL,
176,US3952735-2,11972,5ms9ng8ho9xubm021sjg777cg,3952735,5ms9ng8ho9xubm021sjg777cg,comwzkqbsn2kx53gy6j1qrki0,Samuel,Moscowitz,2,FALSE,FALSE,comwzkqbsn2kx53gy6j1qrki0,e7275ca8-cb8f-11eb-9615-121df0c29c1e,Jerusalem,,IL,31.7959|35.212
177,US3953242-0,8232,wl3k3r5swwur88nrh8a5lgyzb,3953242,fl:ar_ln:hoffman-9,5f3xth3lvsxen3cstm4lb1bvk,Arnold,Hoffman,0,FALSE,FALSE,5f3xth3lvsxen3cstm4lb1bvk,db8aa9ae-cb8e-11eb-9615-121df0c29c1e,Brookline,MA,US,42.3318|-71.1212
178,US3953324-1,5969,j79xp8sip2w17qtqlvpxxtadv,3953324,fl:st_ln:garnett-1,tgl1gzhi5un4zocfrt3bvwk9u,Stephen H.,Garnett,1,FALSE,FALSE,tgl1gzhi5un4zocfrt3bvwk9u,fd5ad63f-cb8f-11eb-9615-121df0c29c1e,Tivon,,IL,32.7133|35.1228
179,US3953732-0,12714,vmlf7uo525ebb8p6zh7uqxzsn,3953732,fl:mo_ln:oron-1,0cc92wr3e5ev96vjrd0r3ftqb,Moshe,Oron,0,FALSE,FALSE,0cc92wr3e5ev96vjrd0r3ftqb,e5e5aff8-09bd-11ec-893a-12de62d610b1,Rehovot,,IL,31.8947|34.8044
180,US3953972-0,938,dl94yr3bn1y1uieznj2miyazh,3953972,fl:le_ln:awerbuch-1,z9w6vm5p64hthgm3w7k3f4ete,Leon,Awerbuch,0,FALSE,FALSE,z9w6vm5p64hthgm3w7k3f4ete,f9139cb2-cb8f-11eb-9615-121df0c29c1e,San Francisco,CA,US,37.7292|-123.047
181,US3954615-0,15525,9n1x4h0vk8tihj64nlm1ejihu,3954615,fl:ge_ln:shelef-1,x4fetromzgev0ou2c7hss2tin,Gedaliahu,Shelef,0,FALSE,FALSE,x4fetromzgev0ou2c7hss2tin,519e62f8-cb8e-11eb-9615-121df0c29c1e,Kiron,,IL,
182,US3954876-1,3067,lgfjv1viun9vsiacgvj15qgq2,3954876,fl:jo_ln:cohen-24,4ydtcsczgex8a8nfw9ql3kaey,Jonathan Freddy,Cohen,1,FALSE,FALSE,4ydtcsczgex8a8nfw9ql3kaey,ff84bf21-cb90-11eb-9615-121df0c29c1e,Bat-Yam,,IL,32.0132|34.7492
183,US3954906-1,10605,aixfq4vidf05bz4it5hkpbh1g,3954906,fl:mo_ln:levy-4,wf15kwq8tyao1t8eaerxx5pup,Moshe,Levy,1,FALSE,FALSE,wf15kwq8tyao1t8eaerxx5pup,e5e5aff8-09bd-11ec-893a-12de62d610b1,Rehovot,,IL,31.8947|34.8044
184,US3954996-0,16027,1ytj3q12u84xfteqh03xyl3n8,3954996,fl:ch_ln:simonovitch-1,elpuf26fem5x50dgc1md9wjyk,Chaim,Simonovitch,0,FALSE,FALSE,elpuf26fem5x50dgc1md9wjyk,ec64093c-09bd-11ec-893a-12de62d610b1,Rishon Le-Zion,,IL,31.9752|34.7809
185,US3955052-0,12637,zesg8wrfeq0yfp1xvn2rlsi8m,3955052,fl:sh_ln:orbach-1,g27gaivit3h3gkmuv0zm4op7i,Shelomo,Orbach,0,FALSE,FALSE,g27gaivit3h3gkmuv0zm4op7i,fb7d135a-cb8f-11eb-9615-121df0c29c1e,Haifa,,IL,32.8003|35.0085
186,US3955280-0,16212,6ddlpdvdm2g93031rcpdo7sih,3955280,fl:me_ln:sneer-1,d5miig7f0akzvun2dkprz915m,Meer,Sneer,0,FALSE,FALSE,d5miig7f0akzvun2dkprz915m,e67cdd38-cb8e-11eb-9615-121df0c29c1e,Tel Aviv,,IL,32.0887|34.7831
187,US3955415-0,15408,ycc4ywysmncwoijk76dntnqk2,3955415,fl:be_ln:sharon-1,00dnbu21wl9dkey4jv48j1wmn,Benjamin,Sharon,0,FALSE,FALSE,00dnbu21wl9dkey4jv48j1wmn,e5e5aff8-09bd-11ec-893a-12de62d610b1,Rehovot,,IL,31.8947|34.8044
188,US3955661-0,13240,0nruowpf43vypipypdf1did56,3955661,fl:ja_ln:popper-2,dlx8yngwy3rk41hngyrc6yjf4,Jakhim B.,Popper,0,FALSE,FALSE,dlx8yngwy3rk41hngyrc6yjf4,e05597a4-cb8e-11eb-9615-121df0c29c1e,Kiryat Motzkin,,IL,32.8437|35.0835
189,US3955923-0,682,fpoixhrocwkaka94qry8nz6li,3955923,fl:sa_ln:asculai-1,4rfgykapdxjmnyjo9zs8ln0p7,Samuel Simon,Asculai,0,FALSE,FALSE,4rfgykapdxjmnyjo9zs8ln0p7,c9983cce-cb8e-11eb-9615-121df0c29c1e,Hampton,NJ,US,40.7095|-74.9643
190,US3956291-0,12533,gdt49crd1heahdtzbo2lwlvxs,3956291,fl:ab_ln:nudelman-1,65upsw0xdbjnmjuhbnjlzynvt,Abraham,Nudelman,0,FALSE,FALSE,65upsw0xdbjnmjuhbnjlzynvt,60c523e0-cb8f-11eb-9615-121df0c29c1e,Bala Cynwyd,PA,US,40.0076|-75.2341
191,US3957542-0,2894,xalk5t15ctut25alx6ou72129,3957542,xalk5t15ctut25alx6ou72129,tlspflv7ulofiyq5r5bo6h7ax,Baruch,Cina,0,FALSE,FALSE,tlspflv7ulofiyq5r5bo6h7ax,fe9ae00e-09bd-11ec-893a-12de62d610b1,Ramat Gan,,IL,32.071|34.827
192,US3957740-0,2114,h78nnh2njvto66rsfn03k1x51,3957740,fl:iz_ln:blank-2,wcyfpkwb04owihp3rxtagiwqp,Izhak,Blank,0,FALSE,FALSE,wcyfpkwb04owihp3rxtagiwqp,fb7d135a-cb8f-11eb-9615-121df0c29c1e,Haifa,,IL,32.8003|35.0085
193,US3958437-0,1313,nwfkivuur6kzux0bs2h2hblky,3958437,nwfkivuur6kzux0bs2h2hblky,23p40scc650ukzd9w3m9pssfq,Seew,Barorian,0,FALSE,FALSE,23p40scc650ukzd9w3m9pssfq,fb7d135a-cb8f-11eb-9615-121df0c29c1e,Haifa,,IL,32.8003|35.0085
194,US3958760-0,14083,3wcv8my1m9clk60wvjwnfarkk,3958760,fl:pe_ln:rosenberg-1,0xqrqy4ixxlb2bq9ij1xjyeb5,Peretz,Rosenberg,0,FALSE,FALSE,0xqrqy4ixxlb2bq9ij1xjyeb5,ecbb0d3e-cb90-11eb-9615-121df0c29c1e,Moshav Beit Shearim,,IL,31.7866|35.2208
195,US3959067-0,3290,w1xc5rkgnjhtqelyz55d1lrsu,3959067,fl:ru_ln:cohn-2,38d6c4a2fr9nua33634z0xh3o,Ruth,Cohn,0,FALSE,FALSE,38d6c4a2fr9nua33634z0xh3o,fe9ae00e-09bd-11ec-893a-12de62d610b1,Ramat-Gan,,IL,32.071|34.827
196,US3959237-0,2114,f31qm5xyzdks1q0d6joieqot3,3959237,fl:iz_ln:blank-2,o4xat3s4qciyk7l1baxwl6i0q,Izhak,Blank,0,FALSE,FALSE,o4xat3s4qciyk7l1baxwl6i0q,fb7d135a-cb8f-11eb-9615-121df0c29c1e,Haifa,,IL,32.8003|35.0085
197,US3959523-0,7521,cnclmcjd6l3tt9dmjfcos4q4q,3959523,fl:jo_ln:grunwald-3,3o99s8y1n7uclhwdizwnlpxun,John J.,Grunwald,0,FALSE,FALSE,3o99s8y1n7uclhwdizwnlpxun,3cb7979d-cb8e-11eb-9615-121df0c29c1e,Waterbury,CT,US,41.5647|-73.0425
198,US3960080-0,54,64na6zzmp6zn1vbpyokevrxru,3960080,fl:ca_ln:adahan-1,lyqf90ghhwpld2htxmhqp1exh,Carmeli,Adahan,0,FALSE,FALSE,lyqf90ghhwpld2htxmhqp1exh,f95c5472-09bd-11ec-893a-12de62d610b1,Berkeley,CA,US,37.8726|-122.3
199,US3960655-3,13384,fuyoo227dau95ozj8ehvhxsyd,3960655,fl:al_ln:radkowsky-1,p1svxtrtqqyyzs3wb7iq9zrh7,Alvin,Radkowsky,3,FALSE,FALSE,p1svxtrtqqyyzs3wb7iq9zrh7,e67cdd38-cb8e-11eb-9615-121df0c29c1e,Tel Aviv,,IL,32.0887|34.7831
